,pokedex_number,name,german_name,japanese_name,generation,status,type_1,height_m,weight_kg,ability_1,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_1,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
10,8,Wartortle,Schillok,カメール (Kameil),1,Normal,Water,1.0,22.5,Torrent,405,59,63,80,65,80,58,Medium Slow,Monster,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
11,9,Blastoise,Turtok,カメックス (Kamex),1,Normal,Water,1.6,85.5,Torrent,530,79,83,100,85,105,78,Medium Slow,Monster,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
12,9,Mega Blastoise,Turtok,カメックス (Kamex),1,Normal,Water,1.6,101.1,Mega Launcher,630,79,103,120,135,115,78,Medium Slow,Monster,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
13,10,Caterpie,Raupy,キャタピー (Caterpie),1,Normal,Bug,0.3,2.9,Shield Dust,195,45,30,35,20,20,45,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
14,11,Metapod,Safcon,トランセル (Transel),1,Normal,Bug,0.7,9.9,Shed Skin,205,50,20,55,25,25,30,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
15,12,Butterfree,Smettbo,バタフリー (Butterfree),1,Normal,Bug,1.1,32.0,Compound Eyes,395,60,45,50,90,80,70,Medium Fast,Bug,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
16,13,Weedle,Hornliu,ビードル (Beedle),1,Normal,Bug,0.3,3.2,Shield Dust,195,40,35,30,20,20,50,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
17,14,Kakuna,Kokuna,コクーン (Cocoon),1,Normal,Bug,0.6,10.0,Shed Skin,205,45,25,50,25,25,35,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
18,15,Beedrill,Bibor,スピアー (Spear),1,Normal,Bug,1.0,29.5,Swarm,395,65,90,40,45,80,75,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
19,15,Mega Beedrill,Bibor,スピアー (Spear),1,Normal,Bug,1.4,40.5,Adaptability,495,65,150,40,15,80,145,Medium Fast,Bug,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
20,16,Pidgey,Taubsi,ポッポ (Poppo),1,Normal,Normal,0.3,1.8,Keen Eye,251,40,45,40,35,35,56,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
21,17,Pidgeotto,Tauboga,ピジョン (Pigeon),1,Normal,Normal,1.1,30.0,Keen Eye,349,63,60,55,50,50,71,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,18,Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Normal,1.5,39.5,Keen Eye,479,83,80,75,70,70,101,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,18,Mega Pidgeot,Tauboss,ピジョット (Pigeot),1,Normal,Normal,2.2,50.5,No Guard,579,83,80,80,135,80,121,Medium Slow,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
24,19,Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Normal,0.3,3.5,Run Away,253,30,56,35,25,35,72,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,19,Alolan Rattata,Rattfratz,コラッタ (Koratta),1,Normal,Dark,0.3,3.8,Gluttony,253,30,56,35,25,35,72,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
26,20,Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Normal,0.7,18.5,Run Away,413,55,81,60,50,70,97,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,20,Alolan Raticate,Rattikarl,ラッタ (Ratta),1,Normal,Dark,0.7,25.5,Gluttony,413,75,71,70,40,80,77,Medium Fast,Field,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
28,21,Spearow,Habitak,オニスズメ (Onisuzume),1,Normal,Normal,0.3,2.0,Keen Eye,262,40,60,30,31,31,70,Medium Fast,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
29,22,Fearow,Ibitak,オニドリル (Onidrill),1,Normal,Normal,1.2,38.0,Keen Eye,442,65,90,65,61,61,100,Medium Fast,Flying,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
30,23,Ekans,Rettan,アーボ (Arbo),1,Normal,Poison,2.0,6.9,Intimidate,288,35,60,44,40,54,55,Medium Fast,Dragon,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,24,Arbok,Arbok,アーボック (Arbok),1,Normal,Poison,3.5,65.0,Intimidate,448,60,95,69,65,79,80,Medium Fast,Dragon,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
32,25,Pikachu,Pikachu,ピカチュウ (Pikachu),1,Normal,Electric,0.4,6.0,Static,320,35,55,40,50,50,90,Medium Fast,Fairy,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
34,26,Raichu,Raichu,ライチュウ (Raichu),1,Normal,Electric,0.8,30.0,Static,485,60,90,55,90,80,110,Medium Fast,Fairy,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
35,26,Alolan Raichu,Raichu,ライチュウ (Raichu),1,Normal,Electric,0.7,21.0,Surge Surfer,485,60,85,50,95,85,110,Medium Fast,Fairy,10.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
36,27,Sandshrew,Sandan,サンド (Sand),1,Normal,Ground,0.6,12.0,Sand Veil,300,50,75,85,20,30,40,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
37,27,Alolan Sandshrew,Sandan,サンド (Sand),1,Normal,Ice,0.7,40.0,Snow Cloak,300,50,75,90,10,35,40,Medium Fast,Field,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,28,Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Ground,1.0,29.5,Sand Veil,450,75,100,110,45,55,65,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
39,28,Alolan Sandslash,Sandamer,サンドパン (Sandpan),1,Normal,Ice,1.2,55.0,Snow Cloak,450,75,100,120,25,65,65,Medium Fast,Field,20.0,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
40,29,Nidoran♀,Nidoran♀,ニドラン♀ (Nidoran♀),1,Normal,Poison,0.4,7.0,Poison Point,275,55,47,52,40,40,41,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
41,30,Nidorina,Nidorina,ニドリーナ (Nidorina),1,Normal,Poison,0.8,20.0,Poison Point,365,70,62,67,55,55,56,Medium Slow,Undiscovered,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
42,31,Nidoqueen,Nidoqueen,ニドクイン (Nidoqueen),1,Normal,Poison,1.3,60.0,Poison Point,505,90,92,87,75,85,76,Medium Slow,Undiscovered,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
43,32,Nidoran♂,Nidoran♂,ニドラン♂ (Nidoran♂),1,Normal,Poison,0.5,9.0,Poison Point,273,46,57,40,40,40,50,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
44,33,Nidorino,Nidorino,ニドリーノ (Nidorino),1,Normal,Poison,0.9,19.5,Poison Point,365,61,72,57,55,55,65,Medium Slow,Field,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
45,34,Nidoking,Nidoking,ニドキング (Nidoking),1,Normal,Poison,1.4,62.0,Poison Point,505,81,102,77,85,75,85,Medium Slow,Field,20.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
46,35,Clefairy,Piepi,ピッピ (Pippi),1,Normal,Fairy,0.6,7.5,Cute Charm,323,70,45,48,60,65,35,Fast,Fairy,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
47,36,Clefable,Pixi,ピクシー (Pixy),1,Normal,Fairy,1.3,40.0,Cute Charm,483,95,70,73,95,90,60,Fast,Fairy,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
48,37,Vulpix,Vulpix,ロコン (Rokon),1,Normal,Fire,0.6,9.9,Flash Fire,299,38,41,40,50,65,65,Medium Fast,Field,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
49,37,Alolan Vulpix,Vulpix,ロコン (Rokon),1,Normal,Ice,0.6,9.9,Snow Cloak,299,38,41,40,50,65,65,Medium Fast,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
50,38,Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Fire,1.1,19.9,Flash Fire,505,73,76,75,81,100,100,Medium Fast,Field,20.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
51,38,Alolan Ninetales,Vulnona,キュウコン (Kyukon),1,Normal,Ice,1.1,19.9,Snow Cloak,505,73,67,75,81,100,109,Medium Fast,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
52,39,Jigglypuff,Pummeluff,プリン (Purin),1,Normal,Normal,0.5,5.5,Cute Charm,270,115,45,20,45,25,20,Fast,Fairy,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
53,40,Wigglytuff,Knuddeluff,プクリン (Pukurin),1,Normal,Normal,1.0,12.0,Cute Charm,435,140,70,45,85,50,45,Fast,Fairy,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
54,41,Zubat,Zubat,ズバット (Zubat),1,Normal,Poison,0.8,7.5,Inner Focus,245,40,45,35,30,40,55,Medium Fast,Flying,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
55,42,Golbat,Golbat,ゴルバット (Golbat),1,Normal,Poison,1.6,55.0,Inner Focus,455,75,80,70,65,75,90,Medium Fast,Flying,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
56,43,Oddish,Myrapla,ナゾノクサ (Nazonokusa),1,Normal,Grass,0.5,5.4,Chlorophyll,320,45,50,55,75,65,30,Medium Slow,Grass,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
57,44,Gloom,Duflor,クサイハナ (Kusaihana),1,Normal,Grass,0.8,8.6,Chlorophyll,395,60,65,70,85,75,40,Medium Slow,Grass,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
58,45,Vileplume,Giflor,ラフレシア (Ruffresia),1,Normal,Grass,1.2,18.6,Chlorophyll,490,75,80,85,110,90,50,Medium Slow,Grass,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
59,46,Paras,Paras,パラス (Paras),1,Normal,Bug,0.3,5.4,Effect Spore,285,35,70,55,45,55,25,Medium Fast,Bug,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
60,47,Parasect,Parasek,パラセクト (Parasect),1,Normal,Bug,1.0,29.5,Effect Spore,405,60,95,80,60,80,30,Medium Fast,Bug,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
61,48,Venonat,Bluzuk,コンパン (Kongpang),1,Normal,Bug,1.0,30.0,Compound Eyes,305,60,55,50,40,55,45,Medium Fast,Bug,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
62,49,Venomoth,Omot,モルフォン (Morphon),1,Normal,Bug,1.5,12.5,Shield Dust,450,70,65,60,90,75,90,Medium Fast,Bug,20.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
63,50,Diglett,Digda,ディグダ (Digda),1,Normal,Ground,0.2,0.8,Sand Veil,265,10,55,25,35,45,95,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
64,50,Alolan Diglett,Digda,ディグダ (Digda),1,Normal,Ground,0.2,1.0,Sand Veil,265,10,55,30,35,45,90,Medium Fast,Field,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
65,51,Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Ground,0.7,33.3,Sand Veil,425,35,100,50,50,70,120,Medium Fast,Field,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
66,51,Alolan Dugtrio,Digdri,ダグトリオ (Dugtrio),1,Normal,Ground,0.7,66.6,Sand Veil,425,35,100,60,50,70,110,Medium Fast,Field,20.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
67,52,Meowth,Mauzi,ニャース (Nyarth),1,Normal,Normal,0.4,4.2,Pickup,290,40,45,35,40,40,90,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
68,52,Alolan Meowth,Mauzi,ニャース (Nyarth),1,Normal,Dark,0.4,4.2,Pickup,290,40,35,35,50,40,90,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
69,52,Galarian Meowth,Mauzi,ニャース (Nyarth),1,Normal,Steel,0.4,7.5,Pickup,290,50,65,55,40,40,40,Medium Fast,Field,20.0,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5
70,53,Persian,Snobilikat,ペルシアン (Persian),1,Normal,Normal,1.0,32.0,Limber,440,65,70,60,65,65,115,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
71,53,Alolan Persian,Snobilikat,ペルシアン (Persian),1,Normal,Dark,1.1,33.0,Fur Coat,440,65,60,60,75,65,115,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
72,54,Psyduck,Enton,コダック (Koduck),1,Normal,Water,0.8,19.6,Damp,320,50,52,48,65,50,55,Medium Fast,Field,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
73,55,Golduck,Entoron,ゴルダック (Golduck),1,Normal,Water,1.7,76.6,Damp,500,80,82,78,95,80,85,Medium Fast,Field,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
74,56,Mankey,Menki,マンキー (Mankey),1,Normal,Fighting,0.5,28.0,Vital Spirit,305,40,80,35,35,45,70,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
75,57,Primeape,Rasaff,オコリザル (Okorizaru),1,Normal,Fighting,1.0,32.0,Vital Spirit,455,65,105,60,60,70,95,Medium Fast,Field,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
76,58,Growlithe,Fukano,ガーディ (Gardie),1,Normal,Fire,0.7,19.0,Intimidate,350,55,70,45,70,50,60,Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
77,59,Arcanine,Arkani,ウインディ (Windie),1,Normal,Fire,1.9,155.0,Intimidate,555,90,110,80,100,80,95,Slow,Field,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
78,60,Poliwag,Quapsel,ニョロモ (Nyoromo),1,Normal,Water,0.6,12.4,Water Absorb,300,40,50,40,40,40,90,Medium Slow,Water 1,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
79,61,Poliwhirl,Quaputzi,ニョロゾ (Nyorozo),1,Normal,Water,1.0,20.0,Water Absorb,385,65,65,65,50,50,90,Medium Slow,Water 1,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
80,62,Poliwrath,Quappo,ニョロボン (Nyorobon),1,Normal,Water,1.3,54.0,Water Absorb,510,90,95,95,70,90,70,Medium Slow,Water 1,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
81,63,Abra,Abra,ケーシィ (Casey),1,Normal,Psychic,0.9,19.5,Synchronize,310,25,20,15,105,55,90,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
82,64,Kadabra,Kadabra,ユンゲラー (Yungerer),1,Normal,Psychic,1.3,56.5,Synchronize,400,40,35,30,120,70,105,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
83,65,Alakazam,Simsala,フーディン (Foodin),1,Normal,Psychic,1.5,48.0,Synchronize,500,55,50,45,135,95,120,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
84,65,Mega Alakazam,Simsala,フーディン (Foodin),1,Normal,Psychic,1.2,48.0,Trace,600,55,50,65,175,105,150,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
85,66,Machop,Machollo,ワンリキー (Wanriky),1,Normal,Fighting,0.8,19.5,Guts,305,70,80,50,35,35,35,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
86,67,Machoke,Maschock,ゴーリキー (Goriky),1,Normal,Fighting,1.5,70.5,Guts,405,80,100,70,50,60,45,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
87,68,Machamp,Machomei,カイリキー (Kairiky),1,Normal,Fighting,1.6,130.0,Guts,505,90,130,80,65,85,55,Medium Slow,Human-Like,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
88,69,Bellsprout,Knofensa,マダツボミ (Madatsubomi),1,Normal,Grass,0.7,4.0,Chlorophyll,300,50,75,35,70,30,40,Medium Slow,Grass,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
