"pokemon_id","pokemon_number","pokemon_name","german_name","generation","status","pokemon_type","height_m","weight_kg","ability","total_points","hp","attack","defense","sp_attack","sp_defense","speed","growth_rate","egg_type","egg_cycles","against_normal","against_fire","against_water","against_electric","against_grass","against_ice","against_fight","against_poison","against_ground","against_flying","against_psychic","against_bug","against_rock","against_ghost","agains_dragon","against_dark","against_steel","against_fairy"
10,8,"Wartortle","Schillok",1,"Normal","Water",1,22.5,"Torrent",405,59,63,80,65,80,58,"Medium Slow","Monster",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
11,9,"Blastoise","Turtok",1,"Normal","Water",1.6,85.5,"Torrent",530,79,83,100,85,105,78,"Medium Slow","Monster",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
12,9,"Mega Blastoise","Turtok",1,"Normal","Water",1.6,101.1,"Mega Launcher",630,79,103,120,135,115,78,"Medium Slow","Monster",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
13,10,"Caterpie","Raupy",1,"Normal","Bug",0.3,2.9,"Shield Dust",195,45,30,35,20,20,45,"Medium Fast","Bug",15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
14,11,"Metapod","Safcon",1,"Normal","Bug",0.7,9.9,"Shed Skin",205,50,20,55,25,25,30,"Medium Fast","Bug",15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
15,12,"Butterfree","Smettbo",1,"Normal","Bug",1.1,32,"Compound Eyes",395,60,45,50,90,80,70,"Medium Fast","Bug",15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
16,13,"Weedle","Hornliu",1,"Normal","Bug",0.3,3.2,"Shield Dust",195,40,35,30,20,20,50,"Medium Fast","Bug",15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
17,14,"Kakuna","Kokuna",1,"Normal","Bug",0.6,10,"Shed Skin",205,45,25,50,25,25,35,"Medium Fast","Bug",15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
18,15,"Beedrill","Bibor",1,"Normal","Bug",1,29.5,"Swarm",395,65,90,40,45,80,75,"Medium Fast","Bug",15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
19,15,"Mega Beedrill","Bibor",1,"Normal","Bug",1.4,40.5,"Adaptability",495,65,150,40,15,80,145,"Medium Fast","Bug",15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
20,16,"Pidgey","Taubsi",1,"Normal","Normal",0.3,1.8,"Keen Eye",251,40,45,40,35,35,56,"Medium Slow","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
21,17,"Pidgeotto","Tauboga",1,"Normal","Normal",1.1,30,"Keen Eye",349,63,60,55,50,50,71,"Medium Slow","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,18,"Pidgeot","Tauboss",1,"Normal","Normal",1.5,39.5,"Keen Eye",479,83,80,75,70,70,101,"Medium Slow","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,18,"Mega Pidgeot","Tauboss",1,"Normal","Normal",2.2,50.5,"No Guard",579,83,80,80,135,80,121,"Medium Slow","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
24,19,"Rattata","Rattfratz",1,"Normal","Normal",0.3,3.5,"Run Away",253,30,56,35,25,35,72,"Medium Fast","Field",15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
25,19,"Alolan Rattata","Rattfratz",1,"Normal","Dark",0.3,3.8,"Gluttony",253,30,56,35,25,35,72,"Medium Fast","Field",15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
26,20,"Raticate","Rattikarl",1,"Normal","Normal",0.7,18.5,"Run Away",413,55,81,60,50,70,97,"Medium Fast","Field",15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
27,20,"Alolan Raticate","Rattikarl",1,"Normal","Dark",0.7,25.5,"Gluttony",413,75,71,70,40,80,77,"Medium Fast","Field",15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
28,21,"Spearow","Habitak",1,"Normal","Normal",0.3,2,"Keen Eye",262,40,60,30,31,31,70,"Medium Fast","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
29,22,"Fearow","Ibitak",1,"Normal","Normal",1.2,38,"Keen Eye",442,65,90,65,61,61,100,"Medium Fast","Flying",15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
30,23,"Ekans","Rettan",1,"Normal","Poison",2,6.9,"Intimidate",288,35,60,44,40,54,55,"Medium Fast","Dragon",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,24,"Arbok","Arbok",1,"Normal","Poison",3.5,65,"Intimidate",448,60,95,69,65,79,80,"Medium Fast","Dragon",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
32,25,"Pikachu","Pikachu",1,"Normal","Electric",0.4,6,"Static",320,35,55,40,50,50,90,"Medium Fast","Fairy",10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
34,26,"Raichu","Raichu",1,"Normal","Electric",0.8,30,"Static",485,60,90,55,90,80,110,"Medium Fast","Fairy",10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
35,26,"Alolan Raichu","Raichu",1,"Normal","Electric",0.7,21,"Surge Surfer",485,60,85,50,95,85,110,"Medium Fast","Fairy",10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
36,27,"Sandshrew","Sandan",1,"Normal","Ground",0.6,12,"Sand Veil",300,50,75,85,20,30,40,"Medium Fast","Field",20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
37,27,"Alolan Sandshrew","Sandan",1,"Normal","Ice",0.7,40,"Snow Cloak",300,50,75,90,10,35,40,"Medium Fast","Field",20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
38,28,"Sandslash","Sandamer",1,"Normal","Ground",1,29.5,"Sand Veil",450,75,100,110,45,55,65,"Medium Fast","Field",20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
39,28,"Alolan Sandslash","Sandamer",1,"Normal","Ice",1.2,55,"Snow Cloak",450,75,100,120,25,65,65,"Medium Fast","Field",20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
40,29,"Nidoran♀","Nidoran♀",1,"Normal","Poison",0.4,7,"Poison Point",275,55,47,52,40,40,41,"Medium Slow","Field",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
41,30,"Nidorina","Nidorina",1,"Normal","Poison",0.8,20,"Poison Point",365,70,62,67,55,55,56,"Medium Slow","Undiscovered",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
42,31,"Nidoqueen","Nidoqueen",1,"Normal","Poison",1.3,60,"Poison Point",505,90,92,87,75,85,76,"Medium Slow","Undiscovered",20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
43,32,"Nidoran♂","Nidoran♂",1,"Normal","Poison",0.5,9,"Poison Point",273,46,57,40,40,40,50,"Medium Slow","Field",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
44,33,"Nidorino","Nidorino",1,"Normal","Poison",0.9,19.5,"Poison Point",365,61,72,57,55,55,65,"Medium Slow","Field",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
45,34,"Nidoking","Nidoking",1,"Normal","Poison",1.4,62,"Poison Point",505,81,102,77,85,75,85,"Medium Slow","Field",20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
46,35,"Clefairy","Piepi",1,"Normal","Fairy",0.6,7.5,"Cute Charm",323,70,45,48,60,65,35,"Fast","Fairy",10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
47,36,"Clefable","Pixi",1,"Normal","Fairy",1.3,40,"Cute Charm",483,95,70,73,95,90,60,"Fast","Fairy",10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
48,37,"Vulpix","Vulpix",1,"Normal","Fire",0.6,9.9,"Flash Fire",299,38,41,40,50,65,65,"Medium Fast","Field",20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
49,37,"Alolan Vulpix","Vulpix",1,"Normal","Ice",0.6,9.9,"Snow Cloak",299,38,41,40,50,65,65,"Medium Fast","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
50,38,"Ninetales","Vulnona",1,"Normal","Fire",1.1,19.9,"Flash Fire",505,73,76,75,81,100,100,"Medium Fast","Field",20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
51,38,"Alolan Ninetales","Vulnona",1,"Normal","Ice",1.1,19.9,"Snow Cloak",505,73,67,75,81,100,109,"Medium Fast","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
52,39,"Jigglypuff","Pummeluff",1,"Normal","Normal",0.5,5.5,"Cute Charm",270,115,45,20,45,25,20,"Fast","Fairy",10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
53,40,"Wigglytuff","Knuddeluff",1,"Normal","Normal",1,12,"Cute Charm",435,140,70,45,85,50,45,"Fast","Fairy",10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
54,41,"Zubat","Zubat",1,"Normal","Poison",0.8,7.5,"Inner Focus",245,40,45,35,30,40,55,"Medium Fast","Flying",15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
55,42,"Golbat","Golbat",1,"Normal","Poison",1.6,55,"Inner Focus",455,75,80,70,65,75,90,"Medium Fast","Flying",15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
56,43,"Oddish","Myrapla",1,"Normal","Grass",0.5,5.4,"Chlorophyll",320,45,50,55,75,65,30,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
57,44,"Gloom","Duflor",1,"Normal","Grass",0.8,8.6,"Chlorophyll",395,60,65,70,85,75,40,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
58,45,"Vileplume","Giflor",1,"Normal","Grass",1.2,18.6,"Chlorophyll",490,75,80,85,110,90,50,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
59,46,"Paras","Paras",1,"Normal","Bug",0.3,5.4,"Effect Spore",285,35,70,55,45,55,25,"Medium Fast","Bug",20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
60,47,"Parasect","Parasek",1,"Normal","Bug",1,29.5,"Effect Spore",405,60,95,80,60,80,30,"Medium Fast","Bug",20,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
61,48,"Venonat","Bluzuk",1,"Normal","Bug",1,30,"Compound Eyes",305,60,55,50,40,55,45,"Medium Fast","Bug",20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
62,49,"Venomoth","Omot",1,"Normal","Bug",1.5,12.5,"Shield Dust",450,70,65,60,90,75,90,"Medium Fast","Bug",20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
63,50,"Diglett","Digda",1,"Normal","Ground",0.2,0.8,"Sand Veil",265,10,55,25,35,45,95,"Medium Fast","Field",20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
64,50,"Alolan Diglett","Digda",1,"Normal","Ground",0.2,1,"Sand Veil",265,10,55,30,35,45,90,"Medium Fast","Field",20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
65,51,"Dugtrio","Digdri",1,"Normal","Ground",0.7,33.3,"Sand Veil",425,35,100,50,50,70,120,"Medium Fast","Field",20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
66,51,"Alolan Dugtrio","Digdri",1,"Normal","Ground",0.7,66.6,"Sand Veil",425,35,100,60,50,70,110,"Medium Fast","Field",20,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
67,52,"Meowth","Mauzi",1,"Normal","Normal",0.4,4.2,"Pickup",290,40,45,35,40,40,90,"Medium Fast","Field",20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
68,52,"Alolan Meowth","Mauzi",1,"Normal","Dark",0.4,4.2,"Pickup",290,40,35,35,50,40,90,"Medium Fast","Field",20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
69,52,"Galarian Meowth","Mauzi",1,"Normal","Steel",0.4,7.5,"Pickup",290,50,65,55,40,40,40,"Medium Fast","Field",20,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
70,53,"Persian","Snobilikat",1,"Normal","Normal",1,32,"Limber",440,65,70,60,65,65,115,"Medium Fast","Field",20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
71,53,"Alolan Persian","Snobilikat",1,"Normal","Dark",1.1,33,"Fur Coat",440,65,60,60,75,65,115,"Medium Fast","Field",20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
72,54,"Psyduck","Enton",1,"Normal","Water",0.8,19.6,"Damp",320,50,52,48,65,50,55,"Medium Fast","Field",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
73,55,"Golduck","Entoron",1,"Normal","Water",1.7,76.6,"Damp",500,80,82,78,95,80,85,"Medium Fast","Field",20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
74,56,"Mankey","Menki",1,"Normal","Fighting",0.5,28,"Vital Spirit",305,40,80,35,35,45,70,"Medium Fast","Field",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
75,57,"Primeape","Rasaff",1,"Normal","Fighting",1,32,"Vital Spirit",455,65,105,60,60,70,95,"Medium Fast","Field",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
76,58,"Growlithe","Fukano",1,"Normal","Fire",0.7,19,"Intimidate",350,55,70,45,70,50,60,"Slow","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
77,59,"Arcanine","Arkani",1,"Normal","Fire",1.9,155,"Intimidate",555,90,110,80,100,80,95,"Slow","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,60,"Poliwag","Quapsel",1,"Normal","Water",0.6,12.4,"Water Absorb",300,40,50,40,40,40,90,"Medium Slow","Water 1",20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
79,61,"Poliwhirl","Quaputzi",1,"Normal","Water",1,20,"Water Absorb",385,65,65,65,50,50,90,"Medium Slow","Water 1",20,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
80,62,"Poliwrath","Quappo",1,"Normal","Water",1.3,54,"Water Absorb",510,90,95,95,70,90,70,"Medium Slow","Water 1",20,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
81,63,"Abra","Abra",1,"Normal","Psychic",0.9,19.5,"Synchronize",310,25,20,15,105,55,90,"Medium Slow","Human-Like",20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
82,64,"Kadabra","Kadabra",1,"Normal","Psychic",1.3,56.5,"Synchronize",400,40,35,30,120,70,105,"Medium Slow","Human-Like",20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
83,65,"Alakazam","Simsala",1,"Normal","Psychic",1.5,48,"Synchronize",500,55,50,45,135,95,120,"Medium Slow","Human-Like",20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
84,65,"Mega Alakazam","Simsala",1,"Normal","Psychic",1.2,48,"Trace",600,55,50,65,175,105,150,"Medium Slow","Human-Like",20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
85,66,"Machop","Machollo",1,"Normal","Fighting",0.8,19.5,"Guts",305,70,80,50,35,35,35,"Medium Slow","Human-Like",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
86,67,"Machoke","Maschock",1,"Normal","Fighting",1.5,70.5,"Guts",405,80,100,70,50,60,45,"Medium Slow","Human-Like",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
87,68,"Machamp","Machomei",1,"Normal","Fighting",1.6,130,"Guts",505,90,130,80,65,85,55,"Medium Slow","Human-Like",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
88,69,"Bellsprout","Knofensa",1,"Normal","Grass",0.7,4,"Chlorophyll",300,50,75,35,70,30,40,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
89,70,"Weepinbell","Ultrigaria",1,"Normal","Grass",1,6.4,"Chlorophyll",390,65,90,50,85,45,55,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
90,71,"Victreebel","Sarzenia",1,"Normal","Grass",1.7,15.5,"Chlorophyll",490,80,105,65,100,70,70,"Medium Slow","Grass",20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
91,72,"Tentacool","Tentacha",1,"Normal","Water",0.9,45.5,"Clear Body",335,40,40,35,50,100,70,"Slow","Water 3",20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
92,73,"Tentacruel","Tentoxa",1,"Normal","Water",1.6,55,"Clear Body",515,80,70,65,80,120,100,"Slow","Water 3",20,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
93,74,"Geodude","Kleinstein",1,"Normal","Rock",0.4,20,"Rock Head",300,40,80,100,30,30,20,"Medium Slow","Mineral",15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
94,74,"Alolan Geodude","Kleinstein",1,"Normal","Rock",0.4,20.3,"Magnet Pull",300,40,80,100,30,30,20,"Medium Slow","Mineral",15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
95,75,"Graveler","Georok",1,"Normal","Rock",1,105,"Rock Head",390,55,95,115,45,45,35,"Medium Slow","Mineral",15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
96,75,"Alolan Graveler","Georok",1,"Normal","Rock",1,110,"Magnet Pull",390,55,95,115,45,45,35,"Medium Slow","Mineral",15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
97,76,"Golem","Geowaz",1,"Normal","Rock",1.4,300,"Rock Head",495,80,120,130,55,65,45,"Medium Slow","Mineral",15,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
98,76,"Alolan Golem","Geowaz",1,"Normal","Rock",1.7,316,"Magnet Pull",495,80,120,130,55,65,45,"Medium Slow","Mineral",15,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
99,77,"Ponyta","Ponita",1,"Normal","Fire",1,30,"Run Away",410,50,85,55,65,65,90,"Medium Fast","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
100,77,"Galarian Ponyta","Ponita",1,"Normal","Psychic",0.8,24,"Run Away",410,50,85,55,65,65,90,"Medium Fast","Field",20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
101,78,"Rapidash","Gallopa",1,"Normal","Fire",1.7,95,"Run Away",500,65,100,70,80,80,105,"Medium Fast","Field",20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
102,78,"Galarian Rapidash","Gallopa",1,"Normal","Psychic",1.7,80,"Run Away",500,65,100,70,80,80,105,"Medium Fast","Field",20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
103,79,"Slowpoke","Flegmon",1,"Normal","Water",1.2,36,"Oblivious",315,90,65,65,40,40,15,"Medium Fast","Monster",20,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
104,79,"Galarian Slowpoke","Flegmon",8,"Normal","Psychic",1.2,36,"Gluttony",315,90,65,65,40,40,15,"Medium Fast","Monster",20,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
105,80,"Slowbro","Lahmus",1,"Normal","Water",1.6,78.5,"Oblivious",490,95,75,110,100,80,30,"Medium Fast","Monster",20,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
106,80,"Mega Slowbro","Lahmus",1,"Normal","Water",2,120,"Shell Armor",590,95,75,180,130,80,30,"Medium Fast","Monster",20,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
107,80,"Galarian Slowbro","Lahmus",8,"Normal","Poison",1.6,70.5,"Quick Draw",490,95,100,95,100,70,30,"Medium Fast","Monster",20,1,1,1,1,0.5,1,0.25,0.5,2,1,1,1,1,2,1,2,1,0.5
108,81,"Magnemite","Magnetilo",1,"Normal","Electric",0.3,6,"Magnet Pull",325,25,35,70,95,55,45,"Medium Fast","Mineral",20,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
109,82,"Magneton","Magneton",1,"Normal","Electric",1,60,"Magnet Pull",465,50,60,95,120,70,70,"Medium Fast","Mineral",20,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
110,83,"Farfetch'd","Porenta",1,"Normal","Normal",0.8,15,"Keen Eye",377,52,90,55,58,62,60,"Medium Fast","Field",20,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
111,83,"Galarian Farfetch'd","Porenta",1,"Normal","Fighting",0.8,42,"Steadfast",377,52,95,55,58,62,55,"Medium Fast","Field",20,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
112,84,"Doduo","Dodu",1,"Normal","Normal",1.4,39.2,"Run Away",310,35,85,45,35,35,75,"Medium Fast","Flying",20,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
113,85,"Dodrio","Dodri",1,"Normal","Normal",1.8,85.2,"Run Away",470,60,110,70,60,60,110,"Medium Fast","Flying",20,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
114,86,"Seel","Jurob",1,"Normal","Water",1.1,90,"Thick Fat",325,65,45,55,45,70,45,"Medium Fast","Field",20,1,0.25,0.5,2,2,0.25,1,1,1,1,1,1,1,1,1,1,0.5,1
115,87,"Dewgong","Jugong",1,"Normal","Water",1.7,120,"Thick Fat",475,90,70,80,70,95,70,"Medium Fast","Field",20,1,0.5,0.5,2,2,125,2,1,1,1,1,1,2,1,1,1,1,1
116,88,"Grimer","Sleima",1,"Normal","Poison",0.9,30,"Stench",325,80,80,50,40,50,25,"Medium Fast","Amorphous",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
117,88,"Alolan Grimer","Sleima",1,"Normal","Poison",0.7,42,"Poison Touch",325,80,80,50,40,50,25,"Medium Fast","Amorphous",20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
118,89,"Muk","Sleimok",1,"Normal","Poison",1.2,30,"Stench",500,105,105,75,65,100,50,"Medium Fast","Amorphous",20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
